Evaluation Results
==================


NDCG@5 Results:
Mean: 0.2817
Per-query results:
  Query 1582877: 0.2134
  Query 159716: 0.1877
  Query 1607728: 0.2874
  Query 1623623: 0.2280
  Query 1663853: 0.4517
  Query 1702151: 0.1947
  Query 172731: 0.0000
  Query 1783010: 1.0000
  Query 1794677: 0.5426
  Query 1821193: 0.0682
  Query 1844896: 0.2638
  Query 1850323: 0.0450
  Query 1862795: 0.4006
  Query 1866981: 0.0000
  Query 1880028: 0.0561
  Query 1937374: 0.1886
  Query 1944018: 0.0302
  Query 1957887: 0.3404
  Query 1964316: 0.4426
  Query 1968489: 0.3728
  Query 1971899: 0.3801
  Query 1977054: 0.2054
  Query 2008017: 0.1370
  Query 2018562: 0.2732
  Query 204633: 0.0842
  Query 204963: 0.2101
  Query 2142044: 0.7134
  Query 2180086: 1.0000
  Query 2182052: 0.0901
  Query 2192891: 0.2575
  Query 224109: 0.0000
  Query 225575: 0.4409
  Query 2290758: 0.3449
  Query 2291272: 0.1009
  Query 229303: 0.4800
  Query 2307305: 0.2803
  Query 2309774: 0.4166
  Query 23464: 0.2089
  Query 2380990: 0.1791
  Query 2382487: 0.1974
  Query 2418598: 0.4371
  Query 2443586: 0.4879
  Query 2446614: 0.1118
  Query 2452795: 0.3939
  Query 2479423: 0.2616
  Query 2484180: 0.3822
  Query 2528767: 0.0779
  Query 2529114: 0.3063
  Query 2539741: 0.2986
  Query 2551845: 0.4974
  Query 2582920: 0.4796
  Query 2592121: 0.3080
  Query 2619912: 0.1673
  Query 2634143: 0.2054
  Query 2643507: 0.0000
  Query 2713171: 0.1619
  Query 2722241: 0.2205
  Query 2783398: 0.0872
  Query 2785579: 0.0000
  Query 2795030: 0.1957
  Query 2797224: 0.2278
  Query 2799913: 0.3766
  Query 2814599: 0.1329
  Query 2814722: 0.4113
  Query 2815090: 0.3047
  Query 2838988: 0.2309
  Query 2847807: 0.4945
  Query 2862887: 0.4130
  Query 2864267: 0.1310
  Query 2892478: 0.0342
  Query 2956570: 0.1493
  Query 2976644: 0.2204
  Query 3040435: 0.0000
  Query 3074429: 0.2061
  Query 3078448: 0.2649
